Goal,Level,Time,1st time,85% time,,,,,Notes,
Aquire Dazzlefruit,1,1.02,1.02,0.87,,Average,12.92485401,,,
Defeat an enemy using only Shields,1,1.28,1.28,1.28,Combat,,,,,
Archaic Legwear,1,1.03,1.03,1.03,Armor,GSI,,,,
Archaic Warm Greaves,1,1.07,1.07,1.07,Armor,GSI,,,,
Archaic Tunic,1,1.15,1.15,1.15,Armor,GSI,,,,
Kill a Bokoblin,1,1.21,1.21,1.21,Combat,,,,,
obtain a cave fish,1,1.03,1.03,1.03,,,,,,
Unlock one purple eye chest,1,1.51,1.51,1.51,,,,,,
Obtain the Camera,2,6.45,6.45,6.45,Side Adventures,Lookout Landing,,,,
Hyrule Field Tower,2,3.30,3.30,3.30,Towers,Hyrule Field,,,,
Collect 50 arrows,2,6.14,8.30,8.30,Weapons,,"8.30 GSI wing to LL tower to castle, 6.14 GSI",,,
Nostalgic Fabric,2,2.47,2.47,2.47,Fabrics,Hyrule Field,,,,
Cook Copious Mushroom Skewers,2,3.10,3.10,3.10,Recipes,,,,,
Cook Copious Seafood Skewers,2,3.08,3.08,3.08,Recipes,,,,,
Hylian Shield,2,3.40,3.40,3.40,Weapons,,,,,
Distract an enemy with meat during combat,2,1.54,1.54,1.54,Combat,,,,,
An Uninvited Guest SQ,2,4.27,4.27,4.27,Side Quests,Combat,Stables,Sahasra Slope,,
Cook any Scorching Meal,2,1.38,1.38,1.38,Recipes,,,,,
Offer Fruit at 1 Cherry Blossom Tree,3,2.49,3.31,3.31,Cherry Blossom ,Travel,,"All with sword, endura carrot, and 3 fire fruit.  Faster time running, slower getting LL tower",,
Defeat a Wizzrobe of any kind,3,2.41,2.41,2.41,Combat,,,,,
Defeat a Captain Construct of any kind,3,1.19,1.19,1.19,Combat,,,,,
Obtain 1 Sage's Will,3,2.49,2.49,2.49,Sky,,,,,
Obtain Dusk Bow,3,3.39,3.39,3.39,Weapons,,,,,
Game Over from Cuccos,3,1.31,1.31,1.31,Game Over,,,,,
Game Over from Gloom,3,1.29,1.29,1.29,Game Over,,,,,
Make a Hard-Boiled Egg,3,4.13,5.28,5.28,Recipes,,,,,
